timestep,incidence,aPosterior,bPosterior,MeanR,StdR,RQuantile025,RQuantile05,RQuantile25,Rmedian,RQuantile75,RQuantile95,RQuantile975
16,2.6,11.7,1.7349061947683266,20.29840247878942,5.934292224381314,10.385886066400355,11.617841844722996,16.045292233523135,19.723121437534296,23.925678491522362,30.942158649979298,33.476541035722946
17,2.3,13.7,1.0120489917171345,13.865071186524741,3.7459486534666566,7.522858373254303,8.329918177263782,11.189364280134294,13.52921983184842,16.175301073201272,20.546273101456904,22.114087523296128
18,3.4,16.799999999999997,0.6051192759489409,10.166003835942204,2.4802509712727665,5.900513116393625,6.458079793038736,8.401860773220037,9.965024432081005,11.711366765216802,14.559696754813684,15.572764396537362
19,3.7,20.2,0.38535907901631017,7.784253396129465,1.7319736486338455,4.767913966821695,5.170657017406121,6.556868651551984,7.656184041211802,8.872191674084,10.834817274395684,11.527936124910626
20,1.7,19.6,0.2622635640968052,5.1403658562973815,1.1610902937472507,3.1222269106891067,3.390803236584508,4.31705757982525,5.053213923946873,5.868783504427386,7.187289685368887,7.653456232042883
21,4.0,21.3,0.18864108563857107,4.018055124101564,0.870614886598054,2.4967012579983243,2.7009814059163704,3.401718433615406,3.9553527132933732,4.566114964401042,5.549064141580643,5.89552626492018
22,4.0,22.7,0.14254635869604781,3.235802342400285,0.6791552409937678,2.0443599272853152,2.205386229209114,2.755591974755438,3.1884129326984483,3.6644066136121403,4.427904688287913,4.696402315701321
23,4.3,24.4,0.11293802580506088,2.755687829643485,0.5578726944518508,1.7728259905945642,1.9066039883121935,2.3617683027492142,2.718134622991284,3.108709647133134,3.7328960898181984,3.9518491177332393
24,4.6,26.699999999999996,0.0932062688545717,2.488607378417064,0.4816158307055653,1.635775564432318,1.7528297402292015,2.1490967782581465,2.4576085234390685,2.7943554757413835,3.3301453066051208,3.517518511501418
25,3.4,26.699999999999996,0.07946456476226832,2.1217038791525638,0.41060963860006355,1.3946078399424335,1.4944043369765398,1.8322484336620906,2.0952752864277704,2.3823745376753034,2.8391711269698217,2.9989192893861016
26,3.1,26.1,0.0694259563105661,1.8120174597057752,0.3546844301509669,1.1847407403164538,1.270659157624675,1.5618823772291213,1.78892875476538,2.0370059271895804,2.432148960666787,2.5704408894357225
27,3.4,27.799999999999997,0.06182474633880401,1.7187279482187514,0.32597533560690967,1.140233737018743,1.2199199160442808,1.48910215883642,1.6981642072007646,1.9259558724075378,2.2876937521900333,2.4140303235942104
28,1.1,24.900000000000002,0.056017094572633166,1.394825654858566,0.27952474062334315,0.9017831950733002,0.9690208849187377,1.1975247930369564,1.3761983819037722,1.5718398883223437,1.88418287791808,1.993670790162034
29,1.1,22.0,0.05158463071583174,1.1348618757482982,0.24195336487420896,0.7112118955386765,0.7682880025862828,0.9636816552830105,1.1177140864889108,1.2873691389608461,1.5599420998579643,1.6559043406704055
30,1.4,19.099999999999998,0.04823257257166027,0.9212421361187111,0.2107934491069802,0.5554804444472141,0.6040165753096091,0.7716959527192339,0.9052154512238757,1.0533391044413702,1.2931509028609258,1.3780206402625605
31,1.4,15.9,0.04587980798250125,0.7294889469217699,0.18294483542895615,0.4161308715393838,0.45681096672213395,0.5992178588018415,0.7142539908399375,0.8431770858075059,1.0541515506106756,1.1293554811215194
32,1.4,13.9,0.0445135054486075,0.6187377257356442,0.16595838371649868,0.33742523868305585,0.3732958487906253,0.5002309375057308,0.6039648188217829,0.7211680642198248,0.9145899498843962,0.9839248995317584
33,2.9,13.700000000000001,0.044147420263965474,0.604819657616327,0.1634051027621099,0.3281607836265448,0.3633662021758067,0.4881004490934359,0.5901692098391297,0.7055960928958437,0.8962658536215908,0.9646567741632983
34,3.1,13.4,0.04476611048210375,0.5998658804601903,0.16387087074622297,0.3229220883978691,0.3580528067818761,0.48275918526959793,0.5850116421121329,0.7008086853191771,0.8923675242741009,0.9611430928819363
35,4.3,16.599999999999998,0.046322686791001495,0.7689566007306248,0.18873297478585432,0.4446581776206727,0.4869866499205047,0.6346825683638432,0.7535720446911892,0.8864837615110425,1.1034209275638391,1.1806160298121295
36,4.9,20.4,0.048694416150711156,0.9933660894745076,0.2199349489073445,0.6100924980511927,0.6613217671606632,0.8375364379390489,0.9771826148622161,1.1315743908385552,1.3806276400816013,1.4685509497538625
37,6.3,25.3,0.05162035468751299,1.3059949735940788,0.25964576591393806,0.8476006496597602,0.9102068035039662,1.1227795524508035,1.2888290750099005,1.4705150362122874,1.7603494941613382,1.86189219265764
38,9.4,33.300000000000004,0.05451418954333841,1.8153225117931693,0.31458041180305873,1.2518914231699867,1.3306745607358001,1.5944215426872785,1.7971838077508027,2.016464122335256,2.3618527843407193,2.4817947756295755
39,9.4,41.3,0.05663129509777755,2.3388724875382128,0.36394144863954364,1.6806125875683062,1.7741212997982967,2.084211061268447,2.320022714886352,2.572997089465635,2.9679299572586166,3.1042209990748466
40,26.1,64.5,0.05683870655052712,3.6660965725089993,0.45648240631018,2.8263953117870626,2.9489233332427713,3.348758757672084,3.6471678424713176,3.9628072492220934,4.447842546639917,4.613347039920921
41,37.0,98.4,0.05445072332959838,5.357951175632481,0.5401336103945584,4.351786090935946,4.5015256753222355,4.984425338744588,5.339811905701219,5.7117076587635145,6.276254564249293,6.467186943716203
42,51.6,145.7,0.04927122860872366,7.178818008291037,0.5947345485398758,6.06050498135246,6.229368257784035,6.769229475587885,7.162400962051654,7.570512777990144,8.184269724551612,8.390419641662932
