timestep,incidence,aPosterior,bPosterior,MeanR,StdR,RQuantile025,RQuantile05,RQuantile25,Rmedian,RQuantile75,RQuantile95,RQuantile975
17,1.1,9.499999999999998,0.3527993077048267,3.351593423195853,1.0874004963266972,1.571106424453492,1.7846376024850787,2.5687311828225026,3.2347556234535455,4.0074132459628755,5.317307764966784,5.79513908665546
18,0.7,9.099999999999998,0.2805791584239151,2.553270341657627,0.8464008764710959,1.173548684887997,1.337683415712783,1.943343648785681,2.4603776246070845,3.0622027619619367,4.08590033657812,4.460127855445694
19,0.6,8.3,0.231867162400412,1.9244974479234198,0.6680028160845117,0.8463525513492164,0.9722933186037528,1.4421657068301548,1.8477846860837577,2.3234481834371956,3.138536124365726,3.4378983027830268
20,0.3,7.0,0.19838332797689626,1.3886832958382738,0.52487295008823,0.5583227082957241,0.6517518604127842,1.0083143913200943,1.3231447992472738,1.6978571257670176,2.349333860746264,2.590781918215081
21,0.6,6.499999999999999,0.1755028618246894,1.140768601860481,0.44744625856773473,0.43952502449429537,0.5170195263754531,0.8160063063921862,1.082831235804005,1.4026106420501037,1.9623003495294133,2.170584723135125
22,0.6,6.0,0.16056751827617105,0.9634051096570263,0.39330848904163146,0.3535526957895882,0.41956529269464693,0.6774679797267469,0.9104437102973612,1.19184481263344,1.6880519248473806,1.8735551243990758
23,0.6,5.5,0.15187587334057545,0.835317303373165,0.3561804949267911,0.28976004912806597,0.34740186589597505,0.5759241545392598,0.7852740568807338,1.0404023380856928,1.4940893509735615,1.6645633125930153
24,0.4,4.8,0.14810878109480374,0.7109221492550579,0.32449008148087477,0.22405069703242828,0.27338924193134717,0.4740030680886784,0.6622089252420933,0.8950129250071487,1.314790582823049,1.4738342649178826
25,0.4,4.5,0.14821638918491623,0.666973751332123,0.3144144416269162,0.20012099053997506,0.24641810961587715,0.43715133640216725,0.6182722686098032,0.843999807915516,1.253834884628653,1.4097429777088801
26,0.3,4.199999999999999,0.15158886267681235,0.6366732232426118,0.3106647225034213,0.18073955221508228,0.2248551735372643,0.4093328867433177,0.5869192132708168,0.8100987161565575,1.2184023508852195,1.3744182970305823
27,0.3,4.199999999999999,0.157963823262594,0.6634480577028947,0.3237295039549088,0.18834042408203128,0.23431129612765048,0.4265470868723621,0.6116016786285554,0.8441668349807008,1.2696413853852462,1.4322184699273697
28,0.0,3.5999999999999996,0.16694072004920135,0.6009865921771248,0.3167477457504077,0.14900239206044316,0.19014278940266144,0.3686789634285286,0.5463496113309105,0.7741504266980123,1.1984464881552888,1.3622487338402214
29,0.0,3.0,0.17855791005902563,0.5356737301770769,0.3092713723155463,0.11046880127601924,0.14600527587873569,0.30842297409934594,0.4774746209902611,0.7000187984769378,1.1241637512844058,1.2900251307780064
30,0.0,2.4000000000000004,0.19225585822348884,0.4614140597363733,0.2978414948441546,0.07273059248948109,0.10127924470344216,0.24239932949544052,0.39915335314607053,0.6132855564648815,1.0342933574919595,1.2017175205069586
31,0.0,2.0,0.20842296773218788,0.41684593546437576,0.2947545876769101,0.050481976646405316,0.07406550067760875,0.20035257262630868,0.34980606054365726,0.5612068795293519,0.9887303214423903,1.1612584506849157
32,0.0,1.6,0.22842592178916296,0.36548147486266075,0.2889384757908958,0.029937062434298566,0.04753177324759905,0.15419887226493834,0.29279546422928493,0.49882159181133723,0.9318269145447852,1.109958351026775
33,0.0,1.3,0.25329563639418345,0.3292843273124385,0.2888014599014948,0.017200836976385445,0.029957374230697536,0.11982064117227767,0.24974925671317028,0.45378268376669345,0.900321474585726,1.0875950058309682
34,0.0,1.0,0.28496669024080995,0.28496669024080995,0.28496669024080995,0.0072147319454354385,0.014616880333167787,0.08197980802820089,0.19752385789391674,0.3950477157878334,0.853683910842257,1.0512077687361738
35,0.1,1.1,0.32781743641891103,0.36059918006080216,0.34381782790061,0.012156270334790813,0.023193662152281698,0.11379264842561915,0.2590660162049645,0.499309628131025,1.0446440614851684,1.277179677543775
36,1.6,2.7,0.3843381326438896,1.037712958138502,0.631531994875413,0.18974329684557478,0.25667633428557596,0.5733881817061631,0.9127955349612602,1.367153874388618,2.245543396228543,2.5917196696879476
37,4.3,7.0,0.46109465860397814,3.227662610227847,1.2199417975263551,1.2976877704282024,1.5148415173604652,2.3435859493463207,3.0753340299019616,3.946263326397307,5.460465380405967,6.021653715960774
38,4.6,11.6,0.5581093002794689,6.4740678832418395,1.9008517817751822,3.3013771026642273,3.695150942944838,5.111474868428102,6.289011932272307,7.635346709258601,9.884506361444542,10.697230937091629
39,9.0,20.6,0.6358690654062975,13.09890274736973,2.886033098877761,8.066360687363973,8.739725815677513,11.054461739068298,12.887566968044926,14.913228475327225,18.179145316998316,19.331697630555297
40,16.3,36.900000000000006,0.6056234373487568,22.34750483816913,3.678881989988257,15.726568296357923,16.659602416517604,19.768591866481962,22.145957772753714,24.70684750454778,28.722998360262828,30.113420263566233
41,20.4,57.300000000000004,0.44798728569672974,25.669671470422617,3.391118760344646,19.457118724437134,20.35782065168017,23.308384051456432,25.5204977957614,27.868407935593424,31.490412707550323,32.729777651128124
42,25.6,82.8,0.2746139644942201,22.738036260121422,2.4988361855482393,18.10545896848876,18.78975261055265,21.006455739122625,22.646564074086434,24.36992899057764,26.9983590333495,27.8903627250398
43,33.6,114.80000000000001,0.15794508709914715,18.132095998982095,1.6922988748590848,14.96728581928054,15.441154368588544,16.963790201108857,18.07947489996376,19.24304993132446,21.002540883279483,21.595914514004942
